Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita,RTCenters_m,Linac_m,Protontherapy_m,XRay_m,Brachytherapy_m
Lung,Female,Mortality,2017,12.55883198,28.07963101,1.517359467,9457,France,Western Europe,168,570,4,2,90,2023,65284776.0,31605558.0,33679217.0,38687.1626407164,2.573341141585597,8.730978873236849,0.061270027180609456,0.030635013590304728,1.3785756115637129
Lung,Female,Mortality,2018,12.03385936,27.37990926,1.459243363,9254,France,Western Europe,168,570,4,2,90,2023,65519543.0,31721037.0,33798505.0,41418.1766484844,2.5641204487644247,8.69969437973644,0.06105048687534343,0.030525243437671715,1.3736359546952273
Lung,Female,Mortality,2019,12.61668418,29.07624953,1.537190169,9856,France,Western Europe,168,570,4,2,90,2023,65729459.0,31832377.0,33897082.0,40408.2848574751,2.555931580084966,8.671910718145421,0.06085551381154681,0.030427756905773404,1.3692490607598031
Lung,Female,Mortality,2020,12.19954173,28.82742181,1.506909392,9796,France,Western Europe,168,570,4,2,90,2023,65905277.0,31923744.0,33981533.0,39169.8606000707,2.5491130247430718,8.648776333949707,0.06069316725578743,0.030346583627893716,1.365596263255217
Lung,Female,Mortality,2021,11.82123099,28.70220884,1.464955066,9778,France,Western Europe,168,570,4,2,90,2023,66083547.99999999,32016483.0,34067065.0,43725.0999521245,2.5422363823443623,8.625444868668373,0.060529437674865766,0.030264718837432883,1.3619123476844797
Lung,Female,Mortality,2022,12.08152786,29.80641943,1.518715881,10182,France,Western Europe,168,570,4,2,90,2023,66277409.0,32116982.0,34160427.0,40988.6396406579,2.534800357086983,8.600215497259406,0.060352389454451975,0.030176194727225988,1.3579287627251693
Lung,Male,Mortality,2007,14.65140707,20.05820246,1.89718439,417,Georgia,Western Asia,9,18,0,1,3,2025,3967590.0,1824345.0,2143244.0,2635.36650276116,2.268379545265514,4.536759090531028,0.0,0.25204217169616816,0.7561265150885046
Lung,Male,Mortality,2008,18.297972,25.0610954,2.364645838,523,Georgia,Western Asia,9,18,0,1,3,2025,3941195.0,1815557.0,2125638.0,3324.7537205015,2.283571353358562,4.567142706717124,0.0,0.2537301503731736,0.7611904511195209
Lung,Male,Mortality,2009,22.63400379,30.45564122,2.923671419,638,Georgia,Western Asia,9,18,0,1,3,2025,3918941.0,1809179.0,2109761.0,2822.68939668797,2.296538784329746,4.593077568659492,0.0,0.25517097603663846,0.7655129281099154
Lung,Male,Mortality,2010,10.90959907,15.27758191,1.451844749,325,Georgia,Western Asia,9,18,0,1,3,2025,3895925.0,1802763.0,2093162.0,3281.72930937343,2.31010607237049,4.62021214474098,0.0,0.25667845248560994,0.7700353574568299
Lung,Male,Mortality,2011,21.2179848,29.12530436,2.835274456,622,Georgia,Western Asia,9,18,0,1,3,2025,3868724.0,1793996.0,2074727.0,4119.66818307193,2.326348429094451,4.652696858188902,0.0,0.2584831587882723,0.7754494763648169
