Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Country,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita
Prostate,Male,Mortality,2022,14.86832065,36.67694401,1.322333918,235,Estonia,Estonia,Northern Europe,2,10,0,0,3,2025,1350091.0,640730.0,709362.0,28340.3826549406
Prostate,Male,Incidence,2022,78.83425136,200.6339217,9.749558914,5514,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Prostate,Male,Mortality,2022,9.581920323,33.38166228,0.7283315678,919,Finland,Finland,Northern Europe,13,50,0,0,7,2020,5569299.0,2753008.0,2816291.0,50440.560224974
Prostate,Male,Mortality,2022,7.961059971,27.74544632,0.5702635688,8911,France,France,Western Europe,168,570,4,2,90,2023,66277409.0,32116982.0,34160427.0,40988.6396406579
Prostate,Male,Mortality,2022,10.76989532,19.2304889,1.052760552,343,Georgia,Georgia,Western Asia,9,18,0,1,3,2025,3794784.0,1768050.0,2026734.0,6729.84659930283
Prostate,Male,Mortality,2022,9.738521264,15.30155041,0.8274760268,3447,Argentina,Argentina,South America,89,131,0,8,47,2025,45407904.0,22527129.0,22880775.0,13962.1894087223
Prostate,Male,Mortality,2022,13.03794297,7.241734171,0.7442026666,641,Guatemala,Guatemala,Central America,5,9,0,1,3,2025,17847877.0,8851469.0,8996407.0,5358.70156997677
Prostate,Male,Mortality,2022,12.26074502,29.68697358,1.104005481,1379,Hungary,Hungary,Eastern Europe,14,53,0,4,14,2025,9684306.0,4645135.0,5039171.0,18428.028825614
Prostate,Male,Incidence,2022,82.25821025,152.1597525,11.06043843,299,Iceland,Iceland,Northern Europe,1,2,0,0,1,2018,380356.0,194847.0,185508.0,76350.4550416502
Prostate,Male,Mortality,2022,10.45470249,29.43310477,0.7385228629,3799,Australia,Australia,Australia and New Zealand,103,224,0,6,10,2025,26200984.0,13000471.0,13200513.0,65169.5191118657
Prostate,Male,Mortality,2022,10.06421664,24.3471332,0.738819603,616,Ireland,Ireland,Northern Europe,12,42,0,4,14,2017,5110016.0,2530072.0,2579943.0,105190.685952731
Prostate,Male,Mortality,2022,5.23615633,9.539689954,0.4731966576,453,Israel,Israel,Western Asia,12,37,0,2,14,2025,9103151.0,4528556.0,4574595.0,54949.621556429
Prostate,Male,Mortality,2022,10.09179784,31.76633251,0.7957442841,1417,Austria,Austria,Western Europe,17,58,1,8,20,2021,9064677.0,4460698.0,4603980.0,52336.7725223758
