Year,TAC,GammaC,MRI,Mammography,PET,ISO3
2015,0.0,0.0,0.0,0.0,0.0,NRU
2015,15.8,3.43,9.62,227.9,0.46,NZL
2018,0.0,0.0,0.0,0.0,0.0,NZL
2022,15.76,3.73,15.76,162.4,1.04,NZL
2022,0.0,0.0,0.0,0.0,0.0,NZL
2015,8.63,1.08,4.31,94.07,0.0,OMN
2018,6.88,1.1,4.4,0.0,0.0,OMN
2019,0.0,0.0,0.0,149.8,0.0,OMN
2022,0.0,0.0,0.0,0.0,0.0,OMN
2015,0.35,0.04,0.23,1.75,0.03,PAK
2018,0.33,0.038,0.22,0.0,0.027,PAK
2019,0.0,0.0,0.0,1.61,0.0,PAK
2022,0.0,0.0,0.0,0.0,0.0,PAK
2015,10.52,2.27,3.13,211.2,0.0,PAN
2018,9.58,2.07,2.85,0.0,0.0,PAN
2019,0.0,0.0,0.0,278.5,0.0,PAN
2022,0.0,0.0,0.0,0.0,0.0,PAN
2015,0.0,0.0,0.0,0.0,0.0,PER
2018,0.0,0.0,0.0,0.0,0.0,PER
2022,0.0,0.0,0.0,0.0,0.0,PER
2015,1.15,0.0,0.32,14.94,0.0,PHL
2018,1.09,0.0,0.3,0.0,0.0,PHL
2019,0.0,0.0,0.0,13.12,0.0,PHL
2022,0.0,0.0,0.0,0.0,0.0,PHL
2015,0.44,0.0,0.0,9.4,0.0,PNG
2018,0.41,0.0,0.0,0.0,0.0,PNG
2019,0.0,0.0,0.0,8.51,0.0,PNG
2015,10.58,2.8,3.27,104.8,0.34,POL
2018,10.6,2.8,3.27,0.0,0.34,POL
2019,0.0,0.0,0.0,100.7,0.0,POL
2022,0.0,3.7,9.25,73.97,0.87,POL
2022,0.0,0.0,0.0,0.0,0.0,POL
2015,0.0,0.0,0.0,0.0,0.0,PRK
2018,0.0,0.0,0.0,0.0,0.0,PRK
2015,27.26,5.06,9.84,281.8,0.66,PRT
2018,27.43,5.09,9.9,0.0,0.66,PRT
2019,0.0,0.0,0.0,272.0,0.0,PRT
2022,0.0,0.0,0.0,0.0,0.0,PRT
2015,1.08,0.0,0.31,8.03,0.0,PRY
2018,1.03,0.0,0.29,0.0,0.0,PRY
2019,0.0,0.0,0.0,7.33,0.0,PRY
2022,0.0,0.0,0.0,0.0,0.0,PRY
2015,10.23,2.27,11.37,284.6,0.57,QAT
2018,8.3,1.84,9.22,0.0,0.46,QAT
2019,0.0,0.0,0.0,225.1,0.0,QAT
2022,0.0,0.0,0.0,0.0,0.0,QAT
2015,5.49,1.16,2.0,42.27,0.05,ROU
2018,5.44,1.15,1.98,0.0,0.046,ROU
